user_id,session_id,arm,persona,track,status,planned_rounds,actual_rounds,avg_score,improvement
1,1,control,junior_practical,Java Backend,completed,10,10,0.636,-0.012
1,2,control,junior_practical,Java Backend,completed,8,8,0.615,0.046
1,3,control,junior_practical,Java Backend,completed,8,8,0.66,-0.024
2,4,control,mid_balanced,Spring & Microservices,completed,9,9,0.59,0.023
2,5,control,mid_balanced,Java Concurrency,completed,7,7,0.582,0.035
2,6,control,mid_balanced,Java Backend,completed,7,7,0.598,-0.009
3,7,control,junior_practical,Spring & Microservices,completed,10,10,0.59,-0.053
3,8,control,junior_practical,Java Backend,completed,7,7,0.576,-0.067
3,9,control,junior_practical,Spring & Microservices,completed,11,11,0.588,-0.01
4,10,control,senior_architect,JVM & Performance,completed,9,9,0.686,-0.006
4,11,control,senior_architect,JVM & Performance,completed,9,9,0.716,-0.014
4,12,control,senior_architect,Spring & Microservices,cancelled,9,3,0.737,-0.02
5,13,control,senior_architect,Java Backend,completed,10,10,0.623,-0.036
5,14,control,senior_architect,Java Backend,completed,11,11,0.644,-0.062
5,15,control,senior_architect,Java Backend,completed,8,8,0.659,0.069
6,16,control,mid_balanced,Spring & Microservices,cancelled,9,3,0.675,0.207
6,17,control,mid_balanced,Java Concurrency,completed,8,8,0.639,-0.032
6,18,control,mid_balanced,Java Concurrency,completed,11,11,0.633,-0.031
7,19,control,junior_practical,Java Backend,completed,8,8,0.6,0.038
7,20,control,junior_practical,Spring & Microservices,completed,9,9,0.619,0.043
7,21,control,junior_practical,Java Backend,completed,8,8,0.603,0.038
8,22,control,mid_balanced,Java Concurrency,completed,10,10,0.686,0.035
8,23,control,mid_balanced,Java Concurrency,completed,9,9,0.667,0.027
8,24,control,mid_balanced,Java Backend,completed,7,7,0.685,0.043
9,25,control,junior_practical,Spring & Microservices,completed,10,10,0.569,-0.073
9,26,control,junior_practical,Spring & Microservices,completed,8,8,0.595,0.088
9,27,control,junior_practical,Spring & Microservices,completed,7,7,0.556,0.078
10,28,control,mid_balanced,Spring & Microservices,completed,8,8,0.589,-0.034
10,29,control,mid_balanced,Spring & Microservices,completed,7,7,0.699,0.025
10,30,control,mid_balanced,Java Backend,completed,10,10,0.665,-0.089
11,31,control,senior_architect,JVM & Performance,completed,11,11,0.766,-0.135
11,32,control,senior_architect,Java Backend,completed,7,7,0.794,0.001
11,33,control,senior_architect,Spring & Microservices,completed,10,10,0.765,-0.053
12,34,control,mid_balanced,Java Concurrency,cancelled,8,4,0.689,0.032
12,35,control,mid_balanced,Java Concurrency,completed,10,10,0.68,0.04
12,36,control,mid_balanced,Java Concurrency,cancelled,11,4,0.705,0.009
13,37,control,junior_practical,Java Concurrency,completed,7,7,0.665,0.002
13,38,control,junior_practical,Spring & Microservices,completed,9,9,0.593,0.0
13,39,control,junior_practical,Java Backend,completed,7,7,0.591,0.051
14,40,control,mid_balanced,Java Concurrency,completed,9,9,0.627,-0.001
14,41,control,mid_balanced,Spring & Microservices,completed,11,11,0.663,0.03
14,42,control,mid_balanced,Java Concurrency,completed,10,7,0.636,0.05
15,43,control,mid_balanced,Java Backend,completed,10,10,0.627,0.045
15,44,control,mid_balanced,Java Concurrency,completed,7,7,0.603,0.006
15,45,control,mid_balanced,Spring & Microservices,completed,10,10,0.6,-0.027
16,46,control,mid_balanced,Spring & Microservices,completed,9,9,0.651,-0.001
16,47,control,mid_balanced,Java Concurrency,completed,8,8,0.594,0.018
16,48,control,mid_balanced,Spring & Microservices,completed,8,8,0.659,0.012
17,49,control,junior_practical,Java Backend,completed,7,7,0.627,-0.058
17,50,control,junior_practical,Java Backend,completed,11,11,0.571,0.024
17,51,control,junior_practical,Spring & Microservices,completed,10,10,0.633,0.001
18,52,control,mid_balanced,Java Backend,completed,8,8,0.653,-0.045
18,53,control,mid_balanced,Spring & Microservices,completed,7,7,0.709,0.036
18,54,control,mid_balanced,Java Concurrency,completed,7,7,0.651,0.054
19,55,control,junior_practical,Spring & Microservices,completed,11,11,0.566,-0.003
19,56,control,junior_practical,Spring & Microservices,completed,11,11,0.548,0.007
19,57,control,junior_practical,Spring & Microservices,completed,11,11,0.549,-0.051
20,58,control,junior_practical,Java Backend,completed,10,10,0.604,-0.016
20,59,control,junior_practical,Spring & Microservices,completed,7,7,0.628,-0.014
20,60,control,junior_practical,Java Backend,completed,11,11,0.629,0.033
21,61,control,senior_architect,JVM & Performance,completed,9,9,0.696,0.042
21,62,control,senior_architect,Java Backend,completed,10,10,0.717,0.001
21,63,control,senior_architect,Spring & Microservices,completed,10,10,0.706,0.008
22,64,control,theory_strong_comm_weak,Java Concurrency,cancelled,9,4,0.578,-0.006
22,65,control,theory_strong_comm_weak,JVM & Performance,completed,8,8,0.582,0.053
22,66,control,theory_strong_comm_weak,Java Concurrency,completed,11,11,0.568,-0.003
23,67,control,senior_architect,Java Backend,completed,11,11,0.675,-0.029
23,68,control,senior_architect,Java Backend,completed,11,11,0.63,0.026
23,69,control,senior_architect,JVM & Performance,completed,10,10,0.64,-0.013
24,70,control,mid_balanced,JVM & Performance,completed,7,7,0.601,-0.07
24,71,control,mid_balanced,Java Concurrency,completed,8,8,0.648,0.013
24,72,control,mid_balanced,Java Concurrency,completed,9,9,0.662,0.042
25,73,treatment,mid_balanced,Spring & Microservices,completed,7,7,0.691,-0.028
25,74,treatment,mid_balanced,Spring & Microservices,completed,7,7,0.757,0.011
25,75,treatment,mid_balanced,Java Backend,completed,11,11,0.691,0.059
26,76,treatment,mid_balanced,Java Concurrency,completed,11,11,0.67,0.023
26,77,treatment,mid_balanced,Java Concurrency,completed,7,7,0.674,0.045
26,78,treatment,mid_balanced,JVM & Performance,completed,9,9,0.715,0.078
27,79,treatment,mid_balanced,Java Concurrency,completed,11,11,0.728,-0.053
27,80,treatment,mid_balanced,Java Concurrency,completed,10,10,0.747,-0.004
27,81,treatment,mid_balanced,Java Backend,completed,11,11,0.737,-0.034
28,82,treatment,theory_strong_comm_weak,JVM & Performance,completed,7,7,0.666,0.017
28,83,treatment,theory_strong_comm_weak,Java Concurrency,completed,10,10,0.65,0.028
28,84,treatment,theory_strong_comm_weak,Java Concurrency,completed,7,7,0.656,0.031
29,85,treatment,junior_practical,Spring & Microservices,completed,9,9,0.675,0.027
29,86,treatment,junior_practical,JVM & Performance,cancelled,10,6,0.729,0.094
29,87,treatment,junior_practical,JVM & Performance,completed,9,9,0.749,0.058
30,88,treatment,mid_balanced,Spring & Microservices,completed,9,9,0.726,-0.056
30,89,treatment,mid_balanced,Spring & Microservices,completed,9,9,0.701,-0.02
30,90,treatment,mid_balanced,Java Concurrency,completed,8,8,0.783,0.003
31,91,treatment,mid_balanced,Spring & Microservices,completed,8,8,0.647,-0.057
31,92,treatment,mid_balanced,Java Concurrency,completed,11,11,0.654,0.035
31,93,treatment,mid_balanced,Java Concurrency,completed,11,11,0.637,0.041
32,94,treatment,theory_strong_comm_weak,Java Concurrency,completed,9,9,0.77,-0.002
32,95,treatment,theory_strong_comm_weak,Java Concurrency,completed,8,8,0.714,0.048
32,96,treatment,theory_strong_comm_weak,Java Concurrency,completed,9,9,0.768,-0.023
33,97,treatment,mid_balanced,Spring & Microservices,completed,7,7,0.734,0.092
33,98,treatment,mid_balanced,Java Backend,completed,10,10,0.735,0.008
33,99,treatment,mid_balanced,Java Backend,completed,7,7,0.735,-0.073
34,100,treatment,senior_architect,Java Concurrency,completed,8,8,0.787,0.005
34,101,treatment,senior_architect,Spring & Microservices,completed,9,9,0.818,0.114
34,102,treatment,senior_architect,Java Backend,completed,9,9,0.775,0.008
35,103,treatment,mid_balanced,Java Concurrency,completed,8,8,0.698,0.044
35,104,treatment,mid_balanced,Java Backend,completed,8,8,0.697,-0.043
35,105,treatment,mid_balanced,Spring & Microservices,completed,11,11,0.719,-0.012
36,106,treatment,junior_practical,Spring & Microservices,completed,8,8,0.62,-0.013
36,107,treatment,junior_practical,Java Backend,completed,8,8,0.65,0.041
36,108,treatment,junior_practical,Java Backend,completed,11,11,0.656,0.027
37,109,treatment,mid_balanced,Java Backend,completed,10,10,0.645,0.017
37,110,treatment,mid_balanced,Spring & Microservices,completed,11,11,0.69,0.033
37,111,treatment,mid_balanced,Spring & Microservices,completed,7,7,0.701,-0.012
38,112,treatment,mid_balanced,Java Concurrency,completed,7,7,0.695,0.08
38,113,treatment,mid_balanced,Java Backend,completed,11,11,0.707,0.012
38,114,treatment,mid_balanced,Java Concurrency,completed,9,9,0.657,0.07
39,115,treatment,junior_practical,Spring & Microservices,cancelled,8,4,0.744,0.036
39,116,treatment,junior_practical,Java Backend,completed,7,7,0.678,0.116
39,117,treatment,junior_practical,Java Backend,completed,9,9,0.655,0.066
40,118,treatment,senior_architect,Spring & Microservices,completed,11,7,0.791,0.144
40,119,treatment,senior_architect,Java Backend,completed,10,10,0.752,-0.06
40,120,treatment,senior_architect,JVM & Performance,completed,10,10,0.738,-0.068
41,121,treatment,mid_balanced,Spring & Microservices,completed,8,8,0.703,-0.018
41,122,treatment,mid_balanced,Java Backend,completed,10,10,0.715,0.043
41,123,treatment,mid_balanced,Java Concurrency,completed,11,11,0.721,-0.065
42,124,treatment,mid_balanced,Java Backend,completed,11,9,0.725,0.005
42,125,treatment,mid_balanced,Java Backend,completed,7,7,0.679,0.026
42,126,treatment,mid_balanced,Spring & Microservices,completed,7,7,0.697,0.051
43,127,treatment,junior_practical,Java Backend,completed,10,10,0.619,-0.015
43,128,treatment,junior_practical,Java Backend,completed,8,8,0.647,0.059
43,129,treatment,junior_practical,Spring & Microservices,completed,9,9,0.632,-0.074
44,130,treatment,junior_practical,Java Backend,cancelled,11,3,0.572,0.166
44,131,treatment,junior_practical,JVM & Performance,cancelled,10,7,0.616,-0.031
44,132,treatment,junior_practical,Java Concurrency,cancelled,10,9,0.604,0.106
45,133,treatment,senior_architect,Java Backend,completed,7,7,0.781,0.026
45,134,treatment,senior_architect,Java Backend,completed,11,11,0.738,-0.052
45,135,treatment,senior_architect,JVM & Performance,completed,7,7,0.753,0.049
46,136,treatment,theory_strong_comm_weak,Java Concurrency,cancelled,7,3,0.74,0.076
46,137,treatment,theory_strong_comm_weak,Java Concurrency,completed,7,7,0.813,0.035
46,138,treatment,theory_strong_comm_weak,JVM & Performance,completed,7,7,0.816,0.077
47,139,treatment,junior_practical,JVM & Performance,completed,7,7,0.689,0.057
47,140,treatment,junior_practical,Java Backend,completed,8,8,0.651,0.064
47,141,treatment,junior_practical,Spring & Microservices,completed,8,8,0.707,0.04
48,142,treatment,theory_strong_comm_weak,Java Concurrency,completed,11,11,0.725,-0.099
48,143,treatment,theory_strong_comm_weak,Java Concurrency,completed,8,8,0.754,-0.021
48,144,treatment,theory_strong_comm_weak,JVM & Performance,completed,8,8,0.757,0.01
